passenger_count	trip_distance	RatecodeID	store_and_fwd_flag	payment_type	fare_amount	extra	mta_tax	tip_amount	tolls_amount	improvement_surcharge	total_amount	tpep_pickup_datetime_day	tpep_pickup_datetime_month	tpep_pickup_datetime_year	tpep_pickup_datetime_hour	tpep_pickup_datetime_minute	tpep_dropoff_datetime_day	tpep_dropoff_datetime_month	tpep_dropoff_datetime_year	tpep_dropoff_datetime_hour	tpep_dropoff_datetime_minute
1	9	1	N	2	28	0	0.5	0	0	0.3	28.8	28	8	2017	11	51	28	8	2017	12	20
1	0.67	1	N	1	4.5	0	0.5	1.06	0	0.3	6.36	17	7	2017	14	20	17	7	2017	14	24
2	1.1	1	N	1	6	0.5	0.5	1.45	0	0.3	8.75	16	8	2017	21	37	16	8	2017	21	42
2	2.14	1	N	2	11.5	0	0.5	0	0	0.3	12.3	13	12	2017	14	5	13	12	2017	14	20
1	1.4	1	N	1	6.5	0	0.5	1.45	0	0.3	8.75	18	10	2017	7	42	18	10	2017	7	49
1	1	1	N	2	5.5	0.5	0.5	0	0	0.3	6.8	26	12	2017	23	33	26	12	2017	23	38
1	1.84	1	N	2	7.5	0.5	0.5	0	0	0.3	8.8	15	3	2017	21	17	15	3	2017	21	23
1	0.55	1	N	1	4	0	0.5	1.2	0	0.3	6	12	12	2017	12	32	12	12	2017	12	35
1	0.3	1	N	2	3.5	0.5	0.5	0	0	0.3	4.8	6	4	2017	2	45	6	4	2017	2	47
1	1.39	1	N	1	8	0	0.5	2.2	0	0.3	11	14	4	2017	12	49	14	4	2017	12	58
1	1.5	1	N	3	11	0	0.5	0	0	0.3	11.8	3	3	2017	9	18	3	3	2017	9	34
1	1.1	1	N	3	6	0	0.5	0	0	0.3	6.8	3	2	2017	6	24	3	2	2017	6	30
1	0.5	1	N	1	4.5	0	0.5	1.05	0	0.3	6.35	15	3	2017	15	42	15	3	2017	15	46
1	1.57	1	N	1	12.5	0	0.5	2.66	0	0.3	15.96	19	5	2017	14	10	19	5	2017	14	28
2	1.03	1	N	1	5	0.5	0.5	1.26	0	0.3	7.56	15	9	2017	22	13	15	9	2017	22	15
5	11.51	1	N	2	39.5	0	0.5	0	5.76	0.3	46.06	17	4	2017	12	3	17	4	2017	12	40
2	0.65	1	N	2	5	0.5	0.5	0	0	0.3	6.3	1	9	2017	23	10	1	9	2017	23	14
1	2.8	1	N	1	20.5	0	0.5	3.2	0	0.3	24.5	29	11	2017	11	13	29	11	2017	11	47
2	6.14	1	N	1	24.5	0.5	0.5	0	0	0.3	25.8	22	1	2017	0	35	22	1	2017	1	5
1	15.6	1	N	1	51.5	0	0.5	11.6	5.76	0.3	69.66	11	12	2017	10	21	11	12	2017	11	14
1	1.5	1	N	1	12.5	0	0.5	3.95	0	0.3	17.25	24	10	2017	15	21	24	10	2017	15	39
1	7	1	N	1	23	0.5	0.5	3	0	0.3	27.3	4	12	2017	23	16	4	12	2017	23	37
1	2.6	1	N	1	11	0.5	0.5	3	0	0.3	15.3	21	4	2017	23	15	21	4	2017	23	27
1	3.1	1	N	1	15	0	0.5	1	0	0.3	16.8	29	4	2017	13	29	29	4	2017	13	48
1	0.23	2	N	2	52	0	0.5	0	0	0.3	52.8	11	11	2017	20	16	11	11	2017	20	17
1	2.1	1	N	1	12	0.5	0.5	2.65	0	0.3	15.95	12	4	2017	20	13	12	4	2017	20	30
2	1.97	1	N	2	12	0	0.5	0	0	0.3	12.8	23	8	2017	15	26	23	8	2017	15	42
