price,make_bin_1,make_bin_2,make_bin_3,make_bin_4,make_bin_5,make_bin_6,model_bin_1,model_bin_2,model_bin_3,model_bin_4,model_bin_5,model_bin_6,model_bin_7,model_bin_8,model_bin_9,model_bin_10,model_bin_11
-0.184472631,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
1.980285306,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
-0.061178707,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
-0.037255076,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1.512504423,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0
0.659144396,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0
-0.045159875,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
-0.061178707,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.827193254,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0
0.099067517,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0
-0.01394695,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0
0.825068825,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0
0.536560044,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0
-0.385530951,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0
-0.490222379,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0
-0.284369674,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0
-0.249910333,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0
-0.310433828,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0
-0.340911634,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0
-0.482546215,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0
-0.306539736,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0
-0.708887302,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1
-0.46316408,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1
-0.595873445,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1
-0.652792408,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1
-0.652792408,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
-0.697958958,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1
-0.034448556,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0
0.051523937,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0
-0.016140989,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0
-0.249910333,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0
-0.345875979,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0
-0.760590855,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1
-0.415246116,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
0.11737906,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
-0.056343414,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0
-0.249910333,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0
-0.353996056,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
-0.48432632,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0
-4.307252506,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0
-4.307252506,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
-1.758328321,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0
-1.785931516,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
-1.991915671,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
-2.299175911,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1
-0.06813098,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
-0.153364679,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0
-0.18975807,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0
-0.28729693,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0
-0.249910333,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0
